product_name,categories_en,energy-kcal_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g
"Pringlets sour onion","","535.211267605634","60.5633802816901","4.22535211267606","32.3943661971831",""
"Formula 1 nutritional shake mix fragola delight","Meals,Dietary supplements,Meal replacements","378.4","35","35","8.8","9.6"
"Madeleine","","428","42","4.8","27",""
"Shake Mix Vanilla Flavour","Dietary supplements","376","42","36","7.2","12"
"Chocolate + Vanila Powder","Dietary supplements,Bodybuilding supplements,Protein powders","376","42","36","7.2","12"
"Ham and american on bun","","206.349206349206","26.1904761904762","12.6984126984127","7.14285714285714","0.793650793650794"
"pumpkin seeds","Plant-based foods and beverages,Plant-based foods,Seeds,Pumpkin and Squash plant products,Cucurbitacea seeds,Pumpkin seeds and their products,Pumpkin seeds","574","2.3","35","45.8","6.4"
"Creatine Monohydrate","","0","0","0","0",""
"Coop Donut Pinky 58g","","108.787878787879","11.5151515151515","5","4.48484854264693","1.09090906200987"
"German fine bread","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","263","52.63","7.02","3.51","7"
"Lithotamne","Plant-based foods and beverages,Plant-based foods,Seafood,Dried products,Dried plant-based foods,Seaweeds and their products,Ground dried seaweeds,fr:lithotamne","184.59","5.7","14.1","2.51","41.4"
"Tarte noix de coco","Sweet pies,Pies,Coconut pies","381","27.3","4.6","22","4.4"
"Strawberry Shortcake","","440","77","5","12","1"
"Protein Pudding","","643.333333333333","46.6666666666667","83.3333333333333","12.3333333333333",""
"Pastilles neutres bio","Bonbon-pastille","197","8.2","0.69","0.91","76.8"
"Maceroni Cheese","","142.5","16.25","6.75","5.5","0.9"
"Takeaway Onion Bhajis","","247.370936902486","22","5.2","15","4.3"
"Raspberry ripple ice-cream","Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams","208","20.2999992370605","3.09999990463257","12.6999998092651","0.5"
"Banana chips","","395.348837209302","53.4883720930233","2.32558139534884","20.9302325581395","9.30232558139535"
"Wieprozowina z zapiecka","","208","0.9","25","12",""
"Thick Cut Chips","","165","27.7777777777778","2.22222222222222","4.55555555555556","2.22222222222222"
"Tikka Chicken Chunks","","128.75","3.875","25","1.25","1"
"Feed Grade Soybeans","","220.125786163522","30.8176100628931","7.23270440251572","7.54716981132075","2.83018867924528"
"Food Grade Corn","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits,Drop cookies,Chocolate chip cookies,Chocolate and hazelnut cookies","505","59","7","26","3.3"
"Noix de coco râpé fine","","666.666666666667","26.6666666666667","6.66666666666667","60","20"
"Tom tom et nana","","16","3.9","0.5","0.1",""
"Graines de chia noires","","70","6","2","4.5","5"
"Macaron - Licornes","","500","60","10","25","0"
"Spirulina Powder","","345","15","67","0.9","3.5"
"Creme entière de Normandie","","294","3.7","2.3","30",""
"Popping boba","","140","35","0","0",""
"Popping boba","","136","34","0","0",""
"Brochette de poulet","","147","10.8","19","3","0.3"
"Turkey and Swiss","","460","45","36","14","1"
"Pain brioché kamut","","110","16","3","2.5","2"
"Pain au chocolat pur beurre x10","Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Chocolate croissant","422","23.7","7.3","23.7",""
"Chanvre décortiqué canadien","","600","6.66666666666667","33.3333333333333","53.3333333333333",""
"Baci di Dama","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruit salads","544","53","4","35",""
"Madame Ashtroumlila Soins pour la peau","","55","1","1","86",""
"Dark Chocolate Turbinado Sea Salt Almonds","Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts","150","16","3","11","2"
"Pea protein isolate","","394","18.48","63.64","7.27","0.88"
"Heidelbeerpulver","","365","70","5","2","17"
"Nuts","","150","16.7000007629395","1.70000004768372","","1.70000004768372"
"nutritional yeast","","358","29","34","6","26"
"Chocolate Grass-Fed WHEY protein isolate","","400","30","66.6666666666667","3.33333333333333",""
"Papattes","","0","1","100","0",""
"Veganes Protein","Dietary supplements,Bodybuilding supplements,Protein powders","391","7","79","6.4","2.4"
"Organic Potato Starch","","333.333333333333","83.3333333333333","","","8.33333333333333"
"Harvest whole wheat bread","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Sweet pastries and pies,Breads,Viennoiseries,White breads,Chouquettes","232.55813953488","41.860465116279","11.627906976744","4.6511627906977",""
"Salade de fruits","","31","5.80000019073486","0.5","0.200000002980232","1.89999997615814"
"Morceaux de filets de poulet","","148","0.5","27.2999992370605","4","0.100000001490116"
"Puntazos","","451","66","5.8","17",""
"Chicken chips","","207","17.6000003814697","14.8000001907349","8.39999961853027","0.699999988079071"
"Hähnchengeschnetzeltes in Champignon-Rahmsoße","","91","2.8","9.7","4.1","1.2"
"Chai Latte","Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Flavored teas,Chaï teas","190","73.3333333333333","19.6666666666667","0.666666666666667",""
"Grass Fed Whey Protein","","403","8","77","5.75","6.66666666666667"
"Natural yoghurt","","72","4.90000009536743","4.19999980926514","3.79999995231628",""
"Jalapeno Cheddar Pepperoni","","163.636363636364","1.81818181818182","18.1818181818182","9.09090909090909","0"
"Turkey jerky","","80","10","8","1",""
"Boulette sauce tomate basilic","","49.2760180995475","3.75565610859729","2.03619909502262","2.80542986425339","0.361990950226244"
"Croissant pure beurre X2","Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Croissants,Butter croissants","429","42.5","9.7","23.9","3.244078265625"
"Croissant pur beurre","Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Croissants,Butter croissants","427","43.2","9","23.7",""
"Spring onion","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Vegetables based foods,Culinary plants,Aromatic plants,Fresh foods,Fresh plant-based foods,Herbs,Onions and their products,Fresh vegetables,Groceries","29.7","2.1","2.57","0.52","3.19"
"Red huevos rancheros burrito","","211.267605633803","24.6478873239437","8.45070422535211","8.45070422535211","1.40845070422535"
"Biscuits For Cheese","","464","64.7","9.3","17.8","3.6"
"Cheesburger with bacon","","300.578034682081","17.3410404624277","16.7630057803468","18.4971098265896","3.46820809248555"
"Soupe orzo et curcuma","","352.94117647059","76.470588235294","11.764705882353","2.9411764705882","8.8235294117647"
"Pate d'arachide Seaux 4,5kg","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Plant-based spreads,Oilseed purees,Legume butters,Nut butters,Peanut butters","611","17","25","48","7.8"
"Peanut butter","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Plant-based spreads,Oilseed purees,Legume butters,Peanut butters","619","10.1000003814697","26.3999996185303","50.5","9.10000038146973"
"Egg salad sandwich","","440","31","13","30",""
"Mafalfa corta","","351","70","14","1","3"
"Roast Beef and Swiss - Nutrigood","","250","23","18","10","1"
"Blanc de poulet","","101","0.5","21","1.70000004768372",""
"Cacao butter unrefined","","880","0","0","99.5",""
"Anis","","315","78.8000030517578","","",""
"Sablés Coco Lait","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Shortbread cookies","526","56","6.6","30","2.8"
"Le tradition","","135","1.25","20.9999990463257","5.50000011920929",""
"Aktiv Flakes","","394","75","7.3","6","5"
"Cacao in polvere","Cocoa and its products,Cocoa and chocolate powders,Cocoa powders","383","24.4","30.4","11.8","28.7"
"Barbecue Protein Chips","Snacks,Salty snacks,Appetizers,Chips and fries,Meals,Crisps","445","38","38","15","3.59999990463257"
"Cornetti integrali nocciola","","399","38.5","9.2","22.1","4.7"
"Citrus Miso Sesame Slaw","","191.428571428571","18","2.85714285714286","13.1428571428571","2.57142857142857"
"Le Jambon de nos Régions","Snacks,Salty snacks,Appetizers,Chips and fries,Meals,Crisps","115","0.5","22","2.79999995231628","3.29999995231628"
"Peri Thighs with Spicy Cauliflower Rice, Chili Minted Peas & Peri Dip","","114.567901234568","4.69135802469136","11.6049382716049","5.18518518518519","2.19753086419753"
"Protein Drink Mix","Meals,Dietary supplements,Bodybuilding supplements,Protein powders","110","5","15","3","1"
"Raisin Walnut Apple Bar","","281.69014084507","49.2957746478873","14.0845070422535","3.52112676056338","7.04225352112676"
"Ti.nutre barretta proteica cioccolato","","375","46","34","11.5",""
"muștar Simply","","35","","9","",""
"Rebuild","Dietary supplements,Bodybuilding supplements","380","36","51","3","1.5"
"Bodylab Whey Protein","","387","8.7","73","6.5",""
"Roast beef","","75.9139784946237","7.8494623655914","6.7741935483871","1.35483875069567","2.60215061967091"
"Bio Kakao Nibs","","604","18.2000007629395","13","50.2999992370605","13.3999996185303"
